date,name,price
2025-04-04,Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
2025-04-04,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1492
2025-04-04,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-04,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-04,Google Pixel 6 Pro 5G 128GB 12GB RAM,599
2025-04-05,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1469
2025-04-05,Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
2025-04-05,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1492
2025-04-05,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-05,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-05,Google Pixel 6 Pro 5G 128GB 12GB RAM,599
2025-04-06,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1469
2025-04-06,Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
2025-04-06,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1492
2025-04-06,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-06,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-06,Google Pixel 6 Pro 5G 128GB 12GB RAM,599
2025-04-07,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1469
2025-04-07,Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
2025-04-07,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1492
2025-04-07,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-07,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-07,Google Pixel 6 Pro 5G 128GB 12GB RAM,599
2025-04-08,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1469
2025-04-08,Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
2025-04-08,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1492
2025-04-08,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-08,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-08,Google Pixel 6 Pro 5G 128GB 12GB RAM,599
2025-04-09,Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
2025-04-09,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-09,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-10,Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
2025-04-10,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-10,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-11,Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
2025-04-11,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-11,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-12,Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
2025-04-12,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-12,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-13,Google Pixel 8a 5G 256GB 8GB RAM Dual-SIM,869
2025-04-13,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-13,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-14,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-14,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-15,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-15,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-16,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-16,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-17,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-17,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-18,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-04-18,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-18,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-18,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1849
2025-04-18,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-18,Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,1939
2025-04-18,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-18,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-18,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-18,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-18,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-18,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-19,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-19,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-19,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1849
2025-04-19,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-19,Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,1939
2025-04-19,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-19,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-19,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-19,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-19,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-19,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-19,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-04-20,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-04-20,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-20,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-20,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1849
2025-04-20,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-20,Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,1939
2025-04-20,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-20,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-20,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-20,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-20,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-20,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-20,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-04-21,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-04-21,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-21,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-21,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1849
2025-04-21,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-21,Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,1939
2025-04-21,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-21,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-21,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,799
2025-04-21,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-21,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,929
2025-04-21,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-21,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-04-22,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-04-22,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-22,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-22,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1849
2025-04-22,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-22,Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,1939
2025-04-22,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-22,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-22,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,835
2025-04-22,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-22,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-04-22,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-22,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-04-23,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-04-23,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-23,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-23,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1849
2025-04-23,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-23,Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,1939
2025-04-23,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-23,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-23,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,835
2025-04-23,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-23,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-04-23,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-23,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-04-24,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-04-24,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-24,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-24,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1849
2025-04-24,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-24,Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,1939
2025-04-24,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-24,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-24,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,835
2025-04-24,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-24,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-04-24,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-24,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-04-25,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-04-25,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-25,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-25,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1969
2025-04-25,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-25,Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,1939
2025-04-25,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-25,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-25,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-04-25,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-25,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-04-25,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-25,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-04-26,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-04-26,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-26,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-26,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1969
2025-04-26,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-26,Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,1939
2025-04-26,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-26,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-26,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-04-26,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-26,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-04-26,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-26,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-04-27,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-04-27,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-27,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-27,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1969
2025-04-27,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-27,Google Pixel 9 Pro XL 5G 256GB 16GB RAM Dual-SIM,1939
2025-04-27,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-27,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-27,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-04-27,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-27,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-04-27,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-27,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-04-28,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-04-28,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-28,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-28,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1969
2025-04-28,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-28,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-28,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-28,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-04-28,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-28,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-04-28,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-28,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-04-29,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-04-29,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-29,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-29,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1969
2025-04-29,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-29,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-29,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-29,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-04-29,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-29,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-04-29,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-29,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-04-30,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-04-30,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-04-30,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-04-30,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1969
2025-04-30,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-04-30,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-04-30,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-04-30,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-04-30,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-04-30,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-04-30,Google Pixel 7 5G 128GB 8GB RAM,759
2025-04-30,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-05-01,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-05-01,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-05-01,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-05-01,Google Pixel 9 Pro 5G 512GB 16GB RAM Dual-SIM,1989
2025-05-01,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1789
2025-05-01,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-05-01,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-05-01,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-05-01,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-05-01,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-05-01,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-05-01,Google Pixel 7 5G 128GB 8GB RAM,759
2025-05-01,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-05-02,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-05-02,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-05-02,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-05-02,Google Pixel 9 Pro 5G 512GB 16GB RAM Dual-SIM,1989
2025-05-02,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1789
2025-05-02,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-05-02,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-05-02,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-05-02,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-05-02,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-05-02,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-05-02,Google Pixel 7 5G 128GB 8GB RAM,759
2025-05-02,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-05-03,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-05-03,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-05-03,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-05-03,Google Pixel 9 Pro 5G 512GB 16GB RAM Dual-SIM,1989
2025-05-03,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1789
2025-05-03,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-05-03,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-05-03,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-05-03,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-05-03,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-05-03,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-05-03,Google Pixel 7 5G 128GB 8GB RAM,759
2025-05-03,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-05-04,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-05-04,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-05-04,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-05-04,Google Pixel 9 Pro 5G 512GB 16GB RAM Dual-SIM,1989
2025-05-04,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1789
2025-05-04,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-05-04,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-05-04,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-05-04,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-05-04,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-05-04,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-05-04,Google Pixel 7 5G 128GB 8GB RAM,759
2025-05-04,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-05-05,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-05-05,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-05-05,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-05-05,Google Pixel 9 Pro 5G 512GB 16GB RAM Dual-SIM,1989
2025-05-05,Google Pixel 9 Pro 5G 256GB 16GB RAM Dual-SIM,1789
2025-05-05,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-05-05,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-05-05,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-05-05,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-05-05,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-05-05,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-05-05,Google Pixel 7 5G 128GB 8GB RAM,759
2025-05-05,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-05-05,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-05-05,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-05-05,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-05-05,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-05-05,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-05-05,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-05-05,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-05-05,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-05-05,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-05-05,Google Pixel 7 5G 128GB 8GB RAM,759
2025-05-05,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-05-06,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-05-06,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1119
2025-05-06,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1635
2025-05-06,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-05-06,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1267
2025-05-06,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1495
2025-05-06,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,849
2025-05-06,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-05-06,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-05-06,Google Pixel 7 5G 128GB 8GB RAM,759
2025-05-06,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
2025-05-08,Google Pixel 9a 5G 256GB 8GB RAM Dual-SIM,1369
2025-05-08,Google Pixel 9a 5G 128GB 8GB RAM Dual-SIM,1079
2025-05-08,Google Pixel 9 Pro 5G 128GB 16GB RAM Dual-SIM,1619
2025-05-08,Google Pixel 9 Pro XL 5G 128GB 16GB RAM Dual-SIM,1719
2025-05-08,Google Pixel 9 5G 128GB 12GB RAM Dual-SIM,1259
2025-05-08,Google Pixel 9 5G 256GB 12GB RAM Dual-SIM,1489
2025-05-08,Google Pixel 8a 5G 128GB 8GB RAM Dual-SIM,839
2025-05-08,Google Pixel Fold 5G 256GB 12GB RAM Dual-SIM,1899
2025-05-08,Google Pixel 8 5G 128GB 8GB RAM Dual-SIM,1059
2025-05-08,Google Pixel 7 5G 128GB 8GB RAM,759
2025-05-08,Google Pixel 6 Pro 5G 128GB 12GB RAM,679
